series_id,reference,percent_change_employment_previous,percent_change_imputed
CES6562140001,980.2,-0.0378494184860233,-0.028361558865537706
CES6562160001,1572.4,-0.04986008649198681,-0.041592470109386936
CES6562310001,1592.2,-0.07260394422811212,-0.0793242055018214
CES6562410001,2699.9,-0.07096559131819691,-0.0640394088669951
CES6562420001,186,-0.016129032258064502,-0.026881720430107503
CES6562430001,326,-0.15736196319018403,-0.14049079754601235
CES6562440001,1038.6,-0.20238782977084535,-0.1957442711342191
CES7071200001,175.2,-0.28767123287671226,-0.27853881278538806
CES1021000001,659.7,-0.13748673639533127,-0.13915416098226474
CES3231100001,1655.4,-0.03721155007853094,-0.026156820103902523
CES3000000001,12852,-0.05827886710239649,-0.05594460006224711
CES3132100001,410.6,-0.05577204091573318,-0.051631758402338135
CES3132700001,425.6,-0.051221804511278224,-0.0653195488721805
CES3133100001,372.7,-0.09283606117520782,-0.0909578749664609
CES3133200001,1483.9,-0.06968124536693854,-0.0649639463575713
CES3133300001,1109.9,-0.06360933417425008,-0.0648707090728895
CES3133400001,1098.2,-0.012930249499180535,-0.010653797122564201
CES3133500001,404.5,-0.060568603213844274,-0.06773794808405431
CES3133600001,1742.9,-0.0776866142635837,-0.08250616788111775
CES3133900001,622.9,-0.05121207256381444,-0.04944613902713113
CES3232200001,363.6,-0.023377337733773373,-0.02777777777777779
CES3232400001,114.3,-0.09623797025371827,-0.09273840769903763
CES3232500001,851.1,-0.02020914111150285,-0.014804370814240464
CES3232600001,746.2,-0.035915304207987275,-0.03122487268828744
CES3133420001,84.6,-0.027186761229314405,-0.02245862884160743
CES3133440001,378,-0.015079365079365026,-0.014550264550264536
CES3133460001,33.2,0.054216867469879526,0.06024096385542177
CES4142000001,5934.2,-0.05751407097839645,-0.05542448855785109
CES4142300001,3221,-0.05389630549518776,-0.054393045638000515
CES4142400001,2180.4,-0.06141075032104204,-0.05631994129517526
CES4244600001,1058.3,-0.09685344420296704,-0.08428611924785023
CES4200000001,15672,-0.05657223072996431,-0.03991832567636555
CES4244100001,2063.7,-0.07796675873431214,-0.06536802829868671
CES4244300001,475.3,-0.13444140542815075,-0.09614980012623608
CES4244400001,1309.3,0.05140151225845879,0.06255250897426112
CES4244500001,3090.2,0.011164325933596508,0.013688434405540129
CES4244800001,1289.1,-0.292374524862307,-0.2836087192615002
CES4245100001,549.8,-0.1971626045834849,-0.17606402328119308
CES4245200001,3046.8,0.01808454772220025,0.057470132598135715
CES4245300001,820.4,-0.13603120429059,-0.11689419795221845
CES4245400001,551.2,-0.019956458635703944,-0.009252539912917301
CES4422000001,546.1,-0.013367515107123307,-0.013550631752426212
CES5051700001,700.5,-0.022983583154889353,-0.029835831548893577
CES5552100001,19.3,0.02590673575129543,0.02590673575129543
CES5552211001,1393.8,-0.011838140335772684,-0.013273066437078485
CES5552220001,587.2,-0.021117166212534233,-0.006811989100817484
CES5552230001,305.2,0.01671035386631714,0.020969855832241313
CES5553300001,23.7,-0.029535864978902926,-0.025316455696202445
CES6054190001,766.1,-0.03341600313275028,-0.026236783709698508
CES6056170001,2178.8,-0.06177712502294852,-0.059619974297778655
CES6056110001,530.3,-0.04412596643409383,-0.04638883650763714
CES6056120001,164.3,-0.03590992087644551,-0.04869141813755329
CES6056190001,342.3,-0.13759859772129712,-0.12795793163891322
CES6562130001,987.8,-0.10599311601538763,-0.09182020651953826
CES6562150001,289.6,-0.057320441988950366,-0.050414364640884
CES6562190001,325.3,-0.07316323393790347,-0.06855210574853987
CES6562320001,653,-0.05574272588055129,-0.05513016845329255
CES6562330001,977.9,-0.05614070968401674,-0.06411698537682786
CES6562390001,167.9,-0.05122096486003569,-0.0589636688505063
CES7071300001,1785.5,-0.3250070008401008,-0.321870624474937
CES7072200001,12303.1,-0.21316578748445514,-0.20507026684331586
CES8081300001,3025.6,-0.06874669487043894,-0.059095716552088784
CES8000000001,5941,-0.10116142063625655,-0.08954721427369128
CES8081100001,1378.6,-0.06963586246917164,-0.052879733062527134
CES8081200001,1537.2,-0.1935336976320583,-0.18240957585219886
CES9000000001,22745,-0.052451088151242,-0.032007034513079846
