cbsa,cbsa_name,X000,X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,max,tmax,total_workers_employed,worker_job_loss_rate
14700,"Branson, MO",3044,0.1,0.1,3,-13.9,-9.4,43.9,96.3,45.3,46.9,26.2,31.9,42,45.1,350,272.8,65.5,471.8,1526,8.3,-8.4,2000,250,35426,0.08591
14720,"Breckenridge, CO",1453,0.5,17,1.8,30.7,1.1,14.3,84.9,43.5,-0.4,-2.9,50.4,3.4,2.3,9.4,-2.2,43.9,221.5,831.3,47.3,54.9,1000,650,12295,0.11817
14740,"Bremerton-Silverdale, WA",7111,4.2,7.8,0.6,353.2,371.4,99.3,-19.6,284.6,162,27.8,-18.3,102.2,57.7,10.7,767.1,669.3,1631.9,2166.6,552.4,-120,5000,150,89632,0.07933
14780,"Brenham, TX",973,0.1,69.2,1,82,87.1,47.5,56.4,17.9,4.3,-7.8,5.5,0,8.4,30.7,89.3,139.7,66.2,222.9,41.7,11.3,250,100,16803,0.05793
14820,"Brevard, NC",778,-0,-0.2,0.4,29.5,104.2,13.7,-0.4,9.6,14.2,1.3,11.3,16.1,3,10.6,89,92.4,84.5,293.9,15.8,-11.3,500,100,11352,0.06849
14860,"Bridgeport-Stamford-Norwalk, CT",38104,-0.5,-2,45.8,711.8,973.3,1040,4773.6,1012.6,1037.6,818.7,773.9,1715.2,454.5,1791.5,3695.2,5471.5,2976.8,7446.1,2598.1,770.3,10000,100,416844,0.09141
15020,"Brookhaven, MS",370,5.9,38.4,-2.6,58.7,6.6,11.9,-66.2,15.9,12.5,13.7,-1.1,-1.9,1.7,-28.8,88.5,115.1,35.9,48.1,1.1,16.9,250,100,13416,0.02761
15060,"Brookings, OR",625,2.2,2,0.9,23.9,38.3,5.7,10.8,14.7,14.3,2.2,5.8,7.9,3.7,4.1,60.5,26.9,26.8,325.9,19.4,29.2,500,100,6998,0.08938
15100,"Brookings, SD",725,0,-6.2,0.1,-57.3,105.7,12.7,6.9,17.8,18.3,2.6,-6,-2.2,1,-5.9,271.9,77.3,24.1,200.3,42.8,20.8,500,100,15515,0.04672
15140,"Brownsville, TN",333,4.7,0.4,-0.2,0.8,170.9,6.8,-16.7,7.3,4.5,-1.4,2.3,2.7,0.1,38.8,-14.4,37.1,6.1,62.5,5,16,250,100,7596,0.04386
15180,"Brownsville-Harlingen, TX",9008,0,342.9,25.1,523.7,346.2,242.6,869.5,92.1,55.4,-53.5,91.1,35,56.6,328.7,1171.7,1730.7,510.7,2276.6,283.7,79.7,5000,100,145656,0.06185
15220,"Brownwood, TX",875,0.1,59.4,2,62.1,118.3,34.1,-5.5,6.8,5.7,-5.4,8,2,9,21.9,110.3,120,59.5,212.2,37.2,18,250,100,16179,0.05411
